ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
United Overseas Bank Limited,,AU3FN0039715,AU,20180401,Banks,5.5,4.9,0.6,3.7,7.8,0.6,6.00,8.20,4.00,4.20,8.9,6.50,8.7,0.8,0.4,0.6,6.50,2.6,2.10,0.6,1.3,0,9.80,0.00,3.50,6.30,0,0.7,6.40,3.40,4.7,0,2.40,8.40,3.80,8.9,7.40,5.30,5.70,5.00,5.00,5.00,5.00,100,100,99,99,1,100,100,99,99,81,84
Series 2010 - 1 SWAN Trust,,AU3FN0010435,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
UOB AUSTRALIA LTD,,XS1747573050,AU,20180401,Banks,5.5,4.9,0.6,3.7,7.8,0.6,6.00,8.20,4.00,4.20,8.9,6.50,8.7,0.8,0.4,0.6,6.50,2.6,2.10,0.6,1.3,0,9.80,0.00,3.50,6.30,0,0.7,6.40,3.40,4.7,0,2.40,8.40,3.80,8.9,7.40,5.30,5.70,5.00,5.00,5.00,5.00,100,100,99,99,1,100,100,99,99,81,84
DBS Bank Ltd,,AU3FN0034971,AU,20180401,Banks,8.1,5.7,1.7,5.5,7,1.7,5.30,8.20,6.30,5.10,7.8,6.00,7.3,0.8,0.4,0.7,6.40,2.7,2.10,0.6,1,0,9.50,0.00,4.80,7.30,0,0.5,7.50,6.80,4.9,0,3.20,7.80,4.00,7.8,7.40,4.90,5.30,4.20,4.20,5.00,5.00,100,100,89,89,1,92,90,57,19,58,64
ARISTOCRAT LEISURE LIMITED,ALL,AU000000ALL7,AU,20180501,Casinos & Gaming,6.3,4.6,5.3,4.6,4.3,5.3,7.10,8.30,5.70,3.50,7.3,2.40,5.3,3.7,2.2,3.1,7.10,5.6,5.70,2.3,2.5,0,5.70,19.00,3.70,2.40,0,2.4,3.50,3.40,5.2,2.7,7.50,1.30,2.50,7.3,2.40,8.00,3.40,5.00,5.00,5.00,5.00,31,23,70,31,1,85,36,79,41,85,84
RAMSAY HEALTH CARE LIMITED,RHC,AU000000RHC8,AU,20180501,Health Care Providers & Services,7.4,5.4,8.1,6.4,3.6,8.1,9.70,4.90,4.40,7.40,7,1.00,8.1,3.2,1.9,2.4,9.60,3.6,6.20,2.1,3.1,0,4.40,18.00,9.60,7.00,0,3.1,8.00,4.20,6.1,6.4,6.10,6.70,5.80,7,1.00,9.50,3.50,5.00,5.00,4.20,4.20,80,85,46,12,1,81,28,99,98,64,56
TELSTRA CORPORATION LIMITED,TLS,AU000000TLS2,AU,20180501,Integrated Telecommunication Services,8.4,5.8,10,5.3,6,10,5.70,10.00,4.30,5.70,7.5,5.00,10,2.3,1.6,2.9,5.70,3,1.70,1.7,1.8,1.2,4.30,17.00,10.00,7.30,0,1.1,7.20,7.50,6.1,0.2,5.70,8.10,6.80,7.5,5.50,6.40,4.90,3.70,3.70,4.20,4.20,79,83,85,62,1,88,44,79,41,38,15
TABCORP HOLDINGS LIMITED,TAH,AU000000TAH8,AU,20180501,Casinos & Gaming,8.1,5.2,6.7,4.9,5.1,6.7,0.80,7.70,7.00,3.70,7.9,3.00,6.7,4,2.2,3.1,0.80,6.2,0.00,2.5,2.5,0,7.00,17.00,4.80,4.80,0,1.8,3.50,6.30,6.1,3.4,5.10,4.40,2.50,7.9,3.00,7.50,3.50,4.20,4.20,5.00,5.00,34,27,86,64,1,94,64,99,98,81,73
COMMONWEALTH BANK OF AUSTRALIA,CBA,AU000000CBA7,AU,20180501,Banks,7.7,5.5,8.6,4.5,6.6,8.6,6.80,10.00,4.60,4.00,7.6,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.6,10.00,4.70,8.80,3.70,3.70,5.00,5.00,7,3,97,90,1,90,50,79,41,81,73
CROWN RESORTS LIMITED,CWN,AU000000CWN6,AU,20180501,Casinos & Gaming,5.9,4.7,4.7,6.4,3.8,4.7,4.70,10.00,4.60,8.20,6.3,2.60,4.7,6,6,2.6,4.70,5.7,3.40,2.2,2.2,0,4.60,14.00,7.50,5.10,0,2.2,2.50,6.20,6.3,3.4,7.80,5.00,5.80,6.3,2.70,7.50,3.20,2.50,2.50,5.00,5.00,48,48,38,8,2,65,11,99,98,49,31
